bl,var_short,jahr,quartal,monat,wert,name_de,name_en,description_de,description_en,type,BL_long,BL_eng
AT,GLPEW1,2020,3,7,14.3141,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2020,4,10,11.3817,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2021,1,1,9.0505,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2021,2,4,12.1034,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2021,3,7,15.1854,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2021,4,10,15.6216,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2022,1,1,13.6603,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2022,2,4,10.6868,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2022,3,7,8.2323,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2022,4,10,8.2004,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2023,1,1,7.0173,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEW1,2023,2,4,5.7011,Bau – Geschäftslage zur Zeit,Construction – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2019,1,1,2.0043,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2019,2,4,-0.4421,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2019,3,7,-1.5145,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2019,4,10,-5.8136,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2020,1,1,-0.0512,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2020,2,4,-50.7574,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2020,3,7,-18.983,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2020,4,10,-15.5444,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2021,1,1,-9.6834,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2021,2,4,15.1387,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2021,3,7,15.4399,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2021,4,10,11.7742,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2022,1,1,8.6638,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2022,2,4,5.9671,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2022,3,7,-11.0224,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2022,4,10,-26.6983,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2023,1,1,-16.6597,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPEWS,2023,2,4,-3.7322,Sachgütererzeugung – Geschäftslageerwartungen in den n. 6 Monaten,Manufacturing – business situation expectations in the next 6 months,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2019,1,1,8.7812,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2019,2,4,0.2296,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2019,3,7,-5.1486,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2019,4,10,-10.733,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2020,1,1,-14.9257,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2020,2,4,-51.7734,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2020,3,7,-44.1278,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2020,4,10,-30.8563,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2021,1,1,-30.6787,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2021,2,4,-0.2567,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2021,3,7,14.3952,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2021,4,10,12.6372,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2022,1,1,7.884,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2022,2,4,16.4006,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2022,3,7,1.5224,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2022,4,10,-13.4859,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2023,1,1,-12.4551,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,GLPS,2023,2,4,-15.5819,Sachgütererzeugung – Geschäftslage zur Zeit,Manufacturing – current business situation,Differenz der Anteile von positiven und negativen Einschätzungen der antwortenden Unternehmen in Prozentpunkten,Difference in percentage points between positive and negative assessments by responding companies,WIFO-Konjunkturtest,Österreich,Austria
AT,alq,2019,1,1,7.45961684832285,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2019,2,4,6.46459077346585,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2019,3,7,6.61465980804948,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2019,4,10,8.49262080731551,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2020,1,1,12.3198899003504,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2020,2,4,10.0391384222157,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2020,3,7,8.36649072228201,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2020,4,10,11.1978543710369,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2021,1,1,9.27184805029561,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2021,2,4,6.9650918360507,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2021,3,7,6.46877306414909,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2021,4,10,8.10385434095635,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2022,1,1,6.30114688345632,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2022,2,4,5.4848376734079,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2022,3,7,5.65431711228253,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2022,4,10,7.37328384998602,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2023,1,1,6.16360786777037,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,alq,2023,2,4,,Arbeitslosenquote,Unemployment rate,In %,In %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,bip,2019,1,1,2.71058039488867,Schnellschätzung der regionalen Bruttowertschöpfung,Quick estimate of regional gross value added,Veränderung gegen das Vorjahresquartal in %,Change from previous year's quarter in %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,bip,2019,2,4,2.0291404985346,Schnellschätzung der regionalen Bruttowertschöpfung,Quick estimate of regional gross value added,Veränderung gegen das Vorjahresquartal in %,Change from previous year's quarter in %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,bip,2019,3,7,1.77968966456805,Schnellschätzung der regionalen Bruttowertschöpfung,Quick estimate of regional gross value added,Veränderung gegen das Vorjahresquartal in %,Change from previous year's quarter in %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,bip,2019,4,10,-0.314063374251106,Schnellschätzung der regionalen Bruttowertschöpfung,Quick estimate of regional gross value added,Veränderung gegen das Vorjahresquartal in %,Change from previous year's quarter in %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,bip,2020,1,1,-3.18675881750528,Schnellschätzung der regionalen Bruttowertschöpfung,Quick estimate of regional gross value added,Veränderung gegen das Vorjahresquartal in %,Change from previous year's quarter in %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,bip,2020,2,4,-13.2244314122446,Schnellschätzung der regionalen Bruttowertschöpfung,Quick estimate of regional gross value added,Veränderung gegen das Vorjahresquartal in %,Change from previous year's quarter in %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,bip,2020,3,7,-4.24959677780949,Schnellschätzung der regionalen Bruttowertschöpfung,Quick estimate of regional gross value added,Veränderung gegen das Vorjahresquartal in %,Change from previous year's quarter in %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,bip,2020,4,10,-5.45721916860381,Schnellschätzung der regionalen Bruttowertschöpfung,Quick estimate of regional gross value added,Veränderung gegen das Vorjahresquartal in %,Change from previous year's quarter in %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,bip,2021,1,1,-5.98637755571935,Schnellschätzung der regionalen Bruttowertschöpfung,Quick estimate of regional gross value added,Veränderung gegen das Vorjahresquartal in %,Change from previous year's quarter in %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,bip,2021,2,4,12.1863563355215,Schnellschätzung der regionalen Bruttowertschöpfung,Quick estimate of regional gross value added,Veränderung gegen das Vorjahresquartal in %,Change from previous year's quarter in %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,bip,2021,3,7,4.87551790554457,Schnellschätzung der regionalen Bruttowertschöpfung,Quick estimate of regional gross value added,Veränderung gegen das Vorjahresquartal in %,Change from previous year's quarter in %,Regionale Konjunkturindikatoren,Österreich,Austria
AT,bip,2021,4,10,5.62108636918781,Schnellschätzung der regionalen Bruttowertschöpfung,Quick estimate of regional gross value added,Veränderung gegen das Vorjahresquartal in %,Change from previous year's quarter in %,Regionale Konjunkturindikatoren,Österreich,Austria
