treatment,treatment_en,control,outcome,outcome_en,outlength,frequency,att,patt,sig,measure,value,diff,diff_patt,max_diff,measure_en,max_diff_patt,outlength2,sig2,sig2_en,valueText1,outlength3
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",15,m,0.3,1,*,Kontrollgruppe,27,,,41.3,Kontrollgruppe,34.3,15.2,insignifikant,insignificant,23,15
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",18,m,1,3.4,***,Kontrollgruppe,28.5,,,43.4,Kontrollgruppe,36.4,18.2,signifikant,significant,24.5,18
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",2,j,1.9,6.3,***,Kontrollgruppe,30.6,,,46.5,Kontrollgruppe,39.5,2.2,signifikant,significant,26.6,24
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",21,m,1.5,5.2,***,Kontrollgruppe,29.5,,,45,Kontrollgruppe,38,21.2,signifikant,significant,25.5,21
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",24,m,1.9,6.3,***,Kontrollgruppe,30.6,,,46.5,Kontrollgruppe,39.5,24.2,signifikant,significant,26.6,24
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",3,j,2.6,7.7,***,Kontrollgruppe,33.2,,,49.8,Kontrollgruppe,42.8,3.2,signifikant,significant,29.200000000000003,36
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",3,m,-1.3,-9.1,***,Kontrollgruppe,14.1,,,28.1,Kontrollgruppe,21.1,3.2,signifikant,significant,10.1,3
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",4,j,3.2,9.1,***,Kontrollgruppe,34.6,,,51.8,Kontrollgruppe,44.8,4.2,signifikant,significant,30.6,48
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",5,j,3.2,8.9,***,Kontrollgruppe,36.2,,,53.4,Kontrollgruppe,46.4,5.2,signifikant,significant,32.2,60
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",6,j,3.6,9.6,***,Kontrollgruppe,37.6,,,55.2,Kontrollgruppe,48.2,6.2,signifikant,significant,33.6,72
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",6,m,-1.2,-6.2,***,Kontrollgruppe,19.3,,,33.3,Kontrollgruppe,26.3,6.2,signifikant,significant,15.3,6
Berufliche Orientierung (BO),Vocational orientation,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",9,m,-0.4,-1.7,**,Kontrollgruppe,22.4,,,36.4,Kontrollgruppe,29.4,9.2,signifikant,significant,18.4,9
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,1,j,6.9,13.7,***,Kontrollgruppe,50,,,70.9,Kontrollgruppe,63.9,1.2,signifikant,significant,46,12
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,12,m,6.9,13.7,***,Kontrollgruppe,50,,,70.9,Kontrollgruppe,63.9,12.2,signifikant,significant,46,12
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,15,m,5.6,12.1,***,Kontrollgruppe,46.4,,,66,Kontrollgruppe,59,15.2,signifikant,significant,42.4,15
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,18,m,4.5,10.3,***,Kontrollgruppe,44,,,62.5,Kontrollgruppe,55.5,18.2,signifikant,significant,40,18
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,2,j,3.3,8,***,Kontrollgruppe,40.9,,,58.2,Kontrollgruppe,51.2,2.2,signifikant,significant,36.9,24
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,21,m,3.6,8.4,***,Kontrollgruppe,42.4,,,60,Kontrollgruppe,53,21.2,signifikant,significant,38.4,21
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,24,m,3.3,8,***,Kontrollgruppe,40.9,,,58.2,Kontrollgruppe,51.2,24.2,signifikant,significant,36.9,24
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,3,j,1.7,4.6,***,Kontrollgruppe,36.7,,,52.3,Kontrollgruppe,45.3,3.2,signifikant,significant,32.7,36
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,3,m,17,25.4,***,Kontrollgruppe,66.9,,,97.9,Kontrollgruppe,90.9,3.2,signifikant,significant,62.900000000000006,3
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,4,j,1.4,4.1,***,Kontrollgruppe,32.8,,,48.2,Kontrollgruppe,41.2,4.2,signifikant,significant,28.799999999999997,48
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,5,j,1.1,3.5,***,Kontrollgruppe,30.3,,,45.3,Kontrollgruppe,38.3,5.2,signifikant,significant,26.3,60
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,6,j,0.5,1.8,*,Kontrollgruppe,28.2,,,42.7,Kontrollgruppe,35.7,6.2,insignifikant,insignificant,24.2,72
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,6,m,11.6,19.9,***,Kontrollgruppe,58.3,,,83.9,Kontrollgruppe,76.9,6.2,signifikant,significant,54.3,6
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Arbeitslosigkeit,Registered unemployment,9,m,8.4,15.7,***,Kontrollgruppe,53.5,,,75.9,Kontrollgruppe,68.9,9.2,signifikant,significant,49.5,9
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,1,j,-2.6,-7.9,***,Kontrollgruppe,33.3,,,47.3,Kontrollgruppe,40.3,1.2,signifikant,significant,29.299999999999997,12
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,12,m,-2.6,-7.9,***,Kontrollgruppe,33.3,,,47.3,Kontrollgruppe,40.3,12.2,signifikant,significant,29.299999999999997,12
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,15,m,-1.5,-4.2,***,Kontrollgruppe,36.1,,,50.1,Kontrollgruppe,43.1,15.2,signifikant,significant,32.1,15
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,18,m,-0.7,-1.9,***,Kontrollgruppe,38,,,52,Kontrollgruppe,45,18.2,signifikant,significant,34,18
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,2,j,0.7,1.8,***,Kontrollgruppe,40.3,,,55,Kontrollgruppe,48,2.2,signifikant,significant,36.3,24
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,21,m,0.3,0.7,*,Kontrollgruppe,39.1,,,53.4,Kontrollgruppe,46.4,21.2,insignifikant,insignificant,35.1,21
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,24,m,0.7,1.8,***,Kontrollgruppe,40.3,,,55,Kontrollgruppe,48,24.2,signifikant,significant,36.3,24
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,3,j,2.2,5,***,Kontrollgruppe,42.7,,,58.9,Kontrollgruppe,51.9,3.2,signifikant,significant,38.7,36
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,3,m,-9.4,-47.1,***,Kontrollgruppe,19.9,,,33.9,Kontrollgruppe,26.9,3.2,signifikant,significant,15.899999999999999,3
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,4,j,2.1,4.7,***,Kontrollgruppe,43.9,,,59.9,Kontrollgruppe,52.9,4.2,signifikant,significant,39.9,48
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,5,j,2.3,5.2,***,Kontrollgruppe,44.1,,,60.3,Kontrollgruppe,53.3,5.2,signifikant,significant,40.1,60
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,6,j,2.7,6.2,***,Kontrollgruppe,44.3,,,61.1,Kontrollgruppe,54.1,6.2,signifikant,significant,40.3,72
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,6,m,-6.7,-25.4,***,Kontrollgruppe,26.4,,,40.4,Kontrollgruppe,33.4,6.2,signifikant,significant,22.4,6
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Beschäftigung,Employment,9,m,-4.1,-13.4,***,Kontrollgruppe,30.3,,,44.3,Kontrollgruppe,37.3,9.2,signifikant,significant,26.3,9
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,1,j,-4.3,-25.5,***,Kontrollgruppe,16.7,,,30.7,Kontrollgruppe,23.7,1.2,signifikant,significant,12.7,12
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,12,m,-4.3,-25.5,***,Kontrollgruppe,16.7,,,30.7,Kontrollgruppe,23.7,12.2,signifikant,significant,12.7,12
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,15,m,-4.1,-23.5,***,Kontrollgruppe,17.5,,,31.5,Kontrollgruppe,24.5,15.2,signifikant,significant,13.5,15
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,18,m,-3.8,-21,***,Kontrollgruppe,18,,,32,Kontrollgruppe,25,18.2,signifikant,significant,14,18
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,2,j,-4,-21.2,***,Kontrollgruppe,18.9,,,32.9,Kontrollgruppe,25.9,2.2,signifikant,significant,14.899999999999999,24
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,21,m,-3.9,-20.9,***,Kontrollgruppe,18.5,,,32.5,Kontrollgruppe,25.5,21.2,signifikant,significant,14.5,21
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,24,m,-4,-21.2,***,Kontrollgruppe,18.9,,,32.9,Kontrollgruppe,25.9,24.2,signifikant,significant,14.899999999999999,24
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,3,j,-3.8,-18.6,***,Kontrollgruppe,20.6,,,34.6,Kontrollgruppe,27.6,3.2,signifikant,significant,16.6,36
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,3,m,-7.6,-57.7,***,Kontrollgruppe,13.2,,,27.2,Kontrollgruppe,20.2,3.2,signifikant,significant,9.2,3
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,4,j,-3.4,-14.7,***,Kontrollgruppe,23.3,,,37.3,Kontrollgruppe,30.3,4.2,signifikant,significant,19.3,48
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,5,j,-3.3,-13,***,Kontrollgruppe,25.7,,,39.7,Kontrollgruppe,32.7,5.2,signifikant,significant,21.7,60
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,6,j,-3.3,-11.9,***,Kontrollgruppe,27.4,,,41.4,Kontrollgruppe,34.4,6.2,signifikant,significant,23.4,72
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,6,m,-4.9,-32,***,Kontrollgruppe,15.3,,,29.3,Kontrollgruppe,22.3,6.2,signifikant,significant,11.3,6
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,Erwerbsinaktivität,Economic inactivity,9,m,-4.3,-26.6,***,Kontrollgruppe,16.3,,,30.3,Kontrollgruppe,23.3,9.2,signifikant,significant,12.3,9
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",1,j,-1.3,-5.2,***,Kontrollgruppe,24.3,,,38.3,Kontrollgruppe,31.3,1.2,signifikant,significant,20.3,12
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",12,m,-1.3,-5.2,***,Kontrollgruppe,24.3,,,38.3,Kontrollgruppe,31.3,12.2,signifikant,significant,20.3,12
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",15,m,-0.5,-1.8,***,Kontrollgruppe,26.9,,,40.9,Kontrollgruppe,33.9,15.2,signifikant,significant,22.9,15
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",18,m,0.2,0.7,*,Kontrollgruppe,28.5,,,42.7,Kontrollgruppe,35.7,18.2,insignifikant,insignificant,24.5,18
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",2,j,1.3,4.3,***,Kontrollgruppe,30.7,,,46,Kontrollgruppe,39,2.2,signifikant,significant,26.7,24
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",21,m,1,3.4,***,Kontrollgruppe,29.5,,,44.5,Kontrollgruppe,37.5,21.2,signifikant,significant,25.5,21
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",24,m,1.3,4.3,***,Kontrollgruppe,30.7,,,46,Kontrollgruppe,39,24.2,signifikant,significant,26.7,24
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",3,j,2.6,7.8,***,Kontrollgruppe,33.1,,,49.7,Kontrollgruppe,42.7,3.2,signifikant,significant,29.1,36
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",3,m,-6.6,-44.2,***,Kontrollgruppe,15,,,29,Kontrollgruppe,22,3.2,signifikant,significant,11,3
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",4,j,2.7,7.6,***,Kontrollgruppe,34.9,,,51.6,Kontrollgruppe,44.6,4.2,signifikant,significant,30.9,48
Basisqualifizierung (BQ),Basic skills training,Annahme: keine Mitnahmen,"Ungeförderte, unselbstständige Aktivbeschäftigung","Non-subsidised, dependent, active employment",5,j,2.8,7.7,***,Kontrollgruppe,36,,,52.8,Kontrollgruppe,45.8,5.2,signifikant,significant,32,60
